"code","name","others","aliases"
"auto","autodetect","",""
"al","Alva","",""
"at","Albatross","",""
"ba","BrlAPI","",""
"bc","BrailComm","",""
"bd","Braudi","",""
"bl","BrailleLite","",""
"bm","Baum","Refreshabraille, Orbit, NLS eReader Zoomax, NBP B2G",""
"bn","BrailleNote","",""
"cb","CombiBraille","",""
"ce","Cebra","",""
"cn","Canute","",""
"ec","EcoBraille","",""
"eu","EuroBraille","",""
"fa","FrankAudiodata","",""
"fs","FreedomScientific","","VFO, Vispero"
"hd","Hedo","",""
"hm","HIMS","",""
"ht","HandyTech","","HelpTech"
"hw","HumanWare","APH Chameleon, APH Mantis, NLS eReader",""
"ic","Inceptor","","Innovision"
"ir","Iris","",""
"lb","Libbraille","",""
"lt","LogText","",""
"mb","MultiBraille","",""
"md","MDV","",""
"mm","BrailleMemo","",""
"mn","MiniBraille","",""
"mt","Metec","",""
"np","NinePoint","",""
"pg","Pegasus","",""
"pm","Papenmeier","",""
"sk","Seika","",""
"tn","TechniBraille","",""
"ts","TSI","",""
"vd","VideoBraille","",""
"vo","Voyager","Braille Pen, Easy Link",""
"vs","VisioBraille","",""
