"driver","name","example","comment"
"al","rotatedCells","no","[no,yes]"
"al","secondaryRoutingKeyEmulation","no","[no,yes]"
"ba","auth","@CONFIGURATION_DIRECTORY@/@api_authkeyfile@",""
"ba","host",":0",""
"bl","baudRate","9600","[300,600,1200,2400,4800,9600,19200,38400]"
"bl","kbEmu","yes","[yes,no]"
"bm","protocol","default","[default,escape,hid1,hid2,ht,pb]"
"bm","varioKeys","no","[no,yes]"
"dp","display","default","[default,text,graphic]"
"dp","horizontalSpacing","1","[0-10] (dots)"
"dp","statusCells","yes","[yes,no]"
"dp","verticalSpacing","2","[0-10] (dots)"
"eu","protocol","","[auto,azerbraille,clio,eurobraille,notebraille,pupibraille,scriba,esys,esytime,iris,esysiris]"
"ht","setTime","no","[no,yes]"
"ir","embedded","","[no,yes]"
"ir","latchDelay","10","[0-100] (tenths of a second)"
"ir","protocol","","[eurobraille,native]"
"lb","device","/dev/ttyS0",""
"lb","driver","auto",""
"lb","table","us.tbl",""
"ts","highBaud","yes","[yes,no]"
"ts","setBaud","9600","[4800,9600,19200]"
"tt","baud","9600",""
"tt","charset","ISO8859-1",""
"tt","columns","40","[1-80]"
"tt","lines","1","[1-3]"
"tt","locale","",""
"tt","term","vt100","[terminfo]"
"vs","baud","57600",""
"vs","displaySize","40","[20-40]"
"vs","promVersion","4","[3-6]"
"xw","columns","40","[1-80]"
"xw","font","name","[]"
"xw","input","off","[off,on]"
"xw","lines","1","[1-3]"
"xw","model","bare","[bare]"
"xw","tkParms","",""
