"name","description"
"auto","locale-based autoselection"
"af","Afrikaans (contracted)"
"am","Amharic (uncontracted)"
"de","German"
"de-g0","German (uncontracted)"
"de-g1","German (basic contractions)"
"de-g2","German (contracted)"
"de-1998","German (contracted - 1998 standard)"
"de-2015","German (contracted - 2015 standard)"
"en","English"
"en_US","English (United States)"
"en-ueb-g1","English (Unified, uncontracted)"
"en-ueb-g2","English (Unified, contracted)"
"en-us-g2","English (United States, contracted)"
"es","Spanish (contracted)"
"fr","French"
"fr-g1","French (uncontracted)"
"fr-g2","French (contracted)"
"ha","Hausa (contracted)"
"id","Indonesian (contracted)"
"ipa","International Phonetic Alphabet"
"ja","Japanese (uncontracted)"
"ko","Korean"
"ko-g0","Korean (uncontracted)"
"ko-g1","Korean (partially contracted)"
"ko-g2","Korean (contracted)"
"lt","Lithuanian (uncontracted)"
"mg","Malagasy (contracted)"
"mun","Munda (contracted)"
"nl","Dutch (contracted)"
"ny","Chichewa (contracted)"
"pt","Portuguese (contracted)"
"ru","Russian (contracted)"
"si","Sinhalese (uncontracted)"
"sw","Swahili (contracted)"
"th","Thai (contracted)"
"zh_TW","Chinese (Taiwan, uncontracted)"
"zu","Zulu (contracted)"
