"code","name","types"
"a2","AtSpi2","screen"
"al","Alva","braille, speech"
"an","Android","speech, screen"
"as","AtSpi","screen"
"at","Albatross","braille"
"auto","autodetect","braille, speech"
"ba","BrlAPI","braille"
"bc","BrailComm","braille"
"bd","Braudi","braille"
"bl","BrailleLite","braille, speech"
"bm","Baum","braille"
"bn","BrailleNote","braille"
"cb","CombiBraille","braille, speech"
"ce","Cebra","braille"
"cn","Canute","braille"
"dp","DotPad","braille"
"ec","EcoBraille","braille"
"em","TerminalEmulator","screen"
"en","eSpeak-NG","speech"
"es","eSpeak","speech"
"eu","EuroBraille","braille"
"fa","FrankAudiodata","braille"
"fl","FestivalLite","speech"
"fs","FreedomScientific","braille"
"fv","Festival","speech"
"gs","GenericSay","speech"
"hd","Hedo","braille"
"hm","HIMS","braille"
"ht","HandyTech","braille"
"hu","Hurd","screen"
"hw","HumanWare","braille"
"ic","Inceptor","braille"
"ir","Iris","braille"
"lb","Libbraille","braille"
"lt","LogText","braille"
"lx","Linux","screen"
"mb","MultiBraille","braille"
"md","MDV","braille"
"mm","BrailleMemo","braille"
"mn","MiniBraille","braille"
"mo","MacOS","speech, screen"
"mp","Mikropuhe","speech"
"mt","Metec","braille"
"np","NinePoint","braille"
"pb","PcBios","screen"
"pg","Pegasus","braille"
"pm","Papenmeier","braille"
"sc","Screen","screen"
"sd","SpeechDispatcher","speech"
"sk","Seika","braille"
"sw","Swift","speech"
"th","Theta","speech"
"tn","TechniBraille","braille"
"ts","TSI","braille"
"tx","Tmux","screen"
"vd","VideoBraille","braille"
"vo","Voyager","braille"
"vs","VisioBraille","braille"
"vv","ViaVoice","speech"
"vw","FileViewer","screen"
"wn","Windows","screen"
"xs","ExternalSpeech","speech"
